Cell,CNAclone
Clone2Cell548,2
Clone2Cell549,2
Clone2Cell550,2
Clone2Cell551,2
Clone2Cell552,2
Clone2Cell553,2
Clone2Cell554,2
Clone2Cell555,2
Clone2Cell556,2
Clone2Cell557,2
Clone2Cell558,2
Clone2Cell559,2
Clone2Cell560,2
Clone2Cell561,2
Clone2Cell562,2
Clone2Cell563,2
Clone2Cell564,2
Clone2Cell565,2
Clone2Cell566,2
Clone2Cell567,2
Clone2Cell568,2
Clone2Cell569,2
Clone2Cell570,2
Clone2Cell571,2
Clone2Cell572,2
Clone2Cell573,2
Clone2Cell574,2
Clone2Cell575,2
Clone2Cell576,2
Clone2Cell577,2
Clone2Cell578,2
Clone2Cell579,2
Clone2Cell580,2
Clone2Cell581,2
Clone2Cell582,2
Clone2Cell583,2
Clone2Cell584,2
Clone2Cell585,2
Clone2Cell586,2
Clone2Cell587,2
Clone2Cell588,2
Clone2Cell589,2
Clone2Cell590,2
Clone2Cell591,2
Clone2Cell592,2
Clone2Cell593,2
Clone2Cell594,2
Clone2Cell595,2
Clone2Cell596,2
Clone2Cell597,2
Clone2Cell598,2
Clone2Cell599,2
Clone2Cell600,2
Clone2Cell601,2
Clone2Cell602,2
Clone2Cell603,2
Clone2Cell604,2
Clone2Cell605,2
Clone2Cell606,2
Clone2Cell607,2
Clone2Cell608,2
Clone2Cell609,2
Clone2Cell610,2
Clone2Cell611,2
Clone2Cell612,2
Clone2Cell613,2
Clone2Cell614,2
Clone2Cell615,2
Clone2Cell616,2
Clone2Cell617,2
Clone2Cell618,2
Clone2Cell619,2
Clone2Cell620,2
Clone2Cell621,2
Clone2Cell622,2
Clone2Cell623,2
Clone2Cell624,2
Clone2Cell625,2
Clone2Cell626,2
Clone2Cell627,2
Clone2Cell628,2
Clone2Cell629,2
Clone2Cell630,2
Clone2Cell631,2
Clone2Cell632,2
Clone2Cell633,2
Clone2Cell634,2
Clone2Cell635,2
Clone2Cell636,2
Clone2Cell637,2
Clone2Cell638,2
Clone2Cell639,2
Clone2Cell640,2
Clone2Cell641,2
Clone2Cell642,2
Clone2Cell643,2
Clone2Cell644,2
Clone2Cell645,2
Clone2Cell646,2
Clone2Cell647,2
Clone2Cell648,2
Clone2Cell649,2
Clone2Cell650,2
Clone2Cell651,2
Clone2Cell652,2
Clone2Cell653,2
Clone2Cell654,2
Clone2Cell655,2
Clone2Cell656,2
Clone2Cell657,2
Clone2Cell658,2
Clone2Cell659,2
Clone2Cell660,2
Clone2Cell661,2
Clone2Cell662,2
Clone2Cell663,2
Clone2Cell664,2
Clone2Cell665,2
Clone2Cell666,2
Clone2Cell667,2
Clone2Cell668,2
Clone2Cell669,2
Clone2Cell670,2
Clone2Cell671,2
Clone2Cell672,2
Clone2Cell673,2
Clone2Cell674,2
Clone2Cell675,2
Clone2Cell676,2
Clone2Cell677,2
Clone2Cell678,2
Clone2Cell679,2
Clone2Cell680,2
Clone2Cell681,2
Clone2Cell682,2
Clone2Cell683,2
Clone2Cell684,2
Clone2Cell685,2
Clone2Cell686,2
Clone2Cell687,2
Clone2Cell688,2
Clone2Cell689,2
Clone2Cell690,2
Clone2Cell691,2
Clone2Cell692,2
Clone2Cell693,2
Clone2Cell694,2
Clone2Cell695,2
Clone2Cell696,2
Clone2Cell697,2
Clone2Cell698,2
Clone2Cell699,2
Clone2Cell700,2
Clone2Cell701,2
Clone2Cell702,2
Clone2Cell703,2
Clone2Cell704,2
Clone2Cell705,2
Clone2Cell706,2
Clone2Cell707,2
Clone2Cell708,2
Clone2Cell709,2
Clone2Cell710,2
Clone2Cell711,2
Clone2Cell712,2
Clone2Cell713,2
Clone2Cell714,2
Clone2Cell715,2
Clone2Cell716,2
Clone2Cell717,2
Clone2Cell718,2
Clone2Cell719,2
Clone2Cell720,2
Clone2Cell721,2
Clone2Cell722,2
Clone2Cell723,2
Clone2Cell724,2
Clone2Cell725,2
Clone2Cell726,2
Clone2Cell727,2
Clone2Cell728,2
Clone2Cell729,2
Clone2Cell730,2
Clone2Cell731,2
Clone2Cell732,2
Clone2Cell733,2
Clone2Cell734,2
Clone2Cell735,2
Clone2Cell736,2
Clone2Cell737,2
Clone2Cell738,2
Clone2Cell739,2
Clone2Cell740,2
Clone2Cell741,2
Clone2Cell742,2
Clone2Cell743,2
Clone2Cell744,2
Clone2Cell745,2
Clone2Cell746,2
Clone2Cell747,2
Clone2Cell748,2
Clone2Cell749,2
Clone2Cell750,2
Clone2Cell751,2
Clone2Cell752,2
Clone2Cell753,2
Clone2Cell754,2
Clone2Cell755,2
Clone2Cell756,2
Clone2Cell757,2
Clone2Cell758,2
Clone2Cell759,2
Clone2Cell760,2
Clone2Cell761,2
Clone2Cell762,2
Clone2Cell763,2
Clone2Cell764,2
Clone2Cell765,2
Clone2Cell766,2
Clone2Cell767,2
Clone2Cell768,2
Clone2Cell769,2
Clone2Cell770,2
Clone2Cell771,2
Clone2Cell772,2
Clone2Cell773,2
Clone2Cell774,2
Clone2Cell775,2
Clone2Cell776,2
Clone2Cell777,2
Clone2Cell778,2
Clone2Cell779,2
Clone2Cell780,2
Clone2Cell781,2
Clone2Cell782,2
Clone2Cell783,2
Clone2Cell784,2
Clone2Cell785,2
Clone2Cell786,2
Clone2Cell787,2
Clone2Cell788,2
Clone2Cell789,2
